# *** Generated by BoomWorks.Org(C) SourceCounter 2.5.5.9 *** 
# *** Author: boomworks@hotmail.com *** 


Folder,File,Type,Lines,Code lines,Code//Comment,Comment lines,Blank lines,Size,Man-Day,Cost,UT Cases,UT Defects,IT Cases,IT Defects
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\music,music.css,.css,30,20,0,3,7,1677,0.12,57.50,1.15,0.23,0.46,0.05
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\music,music.html,.html,32,32,0,0,0,950,0.16,80.00,1.60,0.32,0.64,0.06
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\preview,preview.html,.html,40,39,0,0,1,1180,0.19,97.50,1.95,0.39,0.78,0.08
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\scrawl,scrawl.css,.css,72,52,10,0,10,3887,0.26,130.00,2.60,0.52,1.04,0.10
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\scrawl,scrawl.html,.html,95,92,0,0,3,3933,0.46,230.00,4.60,0.92,1.84,0.18
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\searchreplace,searchreplace.html,.html,102,94,6,0,2,4182,0.47,235.00,4.70,0.94,1.88,0.19
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\snapscreen,snapscreen.html,.html,58,56,0,0,2,1921,0.28,140.00,2.80,0.56,1.12,0.11
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\spechars,spechars.html,.html,21,21,0,0,0,829,0.10,52.50,1.05,0.21,0.42,0.04
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\table,edittable.css,.css,84,70,0,0,14,1192,0.35,175.00,3.50,0.70,1.40,0.14
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\table,edittable.html,.html,64,64,0,0,0,2394,0.32,160.00,3.20,0.64,1.28,0.13
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\table,edittd.html,.html,61,58,0,0,3,1556,0.29,145.00,2.90,0.58,1.16,0.12
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\table,edittip.html,.html,33,32,0,0,1,863,0.16,80.00,1.60,0.32,0.64,0.06
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\template,template.css,.css,18,18,0,0,0,1047,0.09,45.00,0.90,0.18,0.36,0.04
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\template,template.html,.html,26,26,0,0,0,922,0.13,65.00,1.30,0.26,0.52,0.05
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\video,video.css,.css,635,573,3,1,58,15553,2.87,1435.00,28.70,5.74,11.48,1.15
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\video,video.html,.html,86,80,3,0,3,4192,0.40,200.00,4.00,0.80,1.60,0.16
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\webapp,webapp.html,.html,53,50,0,0,3,2385,0.25,125.00,2.50,0.50,1.00,0.10
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\wordimage,wordimage.html,.html,111,106,0,0,5,6380,0.53,265.00,5.30,1.06,2.12,0.21
E:\slowlife\DjangoUeditor\static\ueditor\themes,iframe.css,.css,1,0,1,0,0,41,0.00,0.00,0.00,0.00,0.00,0.00
E:\slowlife\DjangoUeditor\static\ueditor\themes\default,dialogbase.css,.css,100,78,8,0,14,1685,0.39,195.00,3.90,0.78,1.56,0.16
E:\slowlife\DjangoUeditor\static\ueditor\themes\default\css,ueditor.css,.css,1903,1537,75,1,290,43760,7.69,3845.00,76.90,15.38,30.76,3.08
E:\slowlife\DjangoUeditor\static\ueditor\themes\default\css,ueditor.min.css,.css,8,1,5,0,2,34956,0.00,2.50,0.05,0.01,0.02,0.00
E:\slowlife\DjangoUeditor\static\ueditor\third-party\SyntaxHighlighter,shCoreDefault.css,.css,1,1,0,0,0,7117,0.00,2.50,0.05,0.01,0.02,0.00
E:\slowlife\DjangoUeditor\static\ueditor\third-party\codemirror,codemirror.css,.css,104,89,3,0,12,2888,0.44,222.50,4.45,0.89,1.78,0.18
E:\slowlife\DjangoUeditor\static\ueditor\third-party\video-js,video-js.css,.css,766,566,176,7,17,21318,2.87,1432.50,28.65,5.73,11.46,1.15
E:\slowlife\DjangoUeditor\static\ueditor\third-party\video-js,video-js.min.css,.css,5,0,4,1,0,11451,0.00,2.50,0.05,0.01,0.02,0.00
E:\slowlife\DjangoUeditor\static\ueditor\third-party\webuploader,webuploader.css,.css,28,25,0,1,2,515,0.13,65.00,1.30,0.26,0.52,0.05
E:\slowlife\DjangoUeditor\templates,ueditor.html,.html,10,10,0,0,0,411,0.05,25.00,0.50,0.10,0.20,0.02
E:\slowlife\DjangoUeditor\templates,ueditor_old.html,.html,24,24,0,0,0,1504,0.12,60.00,1.20,0.24,0.48,0.05
E:\slowlife\banner,admin.py,.py,3,2,0,0,1,63,0.01,5.00,0.10,0.02,0.04,0.00
E:\slowlife\banner,apps.py,.py,5,3,0,0,2,87,0.01,7.50,0.15,0.03,0.06,0.01
E:\slowlife\banner,models.py,.py,3,2,0,0,1,57,0.01,5.00,0.10,0.02,0.04,0.00
E:\slowlife\banner,tests.py,.py,3,2,0,0,1,60,0.01,5.00,0.10,0.02,0.04,0.00
E:\slowlife\banner,views.py,.py,3,2,0,0,1,63,0.01,5.00,0.10,0.02,0.04,0.00
E:\slowlife\banner,__init__.py,.py,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
E:\slowlife\banner\migrations,__init__.py,.py,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
E:\slowlife\banner\static\banner_css,examples.css,.css,71,56,1,0,14,1056,0.28,140.00,2.80,0.56,1.12,0.11
E:\slowlife\banner\static\banner_css,normalize.css,.css,1,1,0,0,0,1825,0.00,2.50,0.05,0.01,0.02,0.00
E:\slowlife\banner\static\banner_css,slider-pro.min.css,.css,6,0,5,1,0,12547,0.00,2.50,0.05,0.01,0.02,0.00
E:\slowlife\banner\static\banner_js\fancybox,jquery.fancybox.css,.css,274,226,4,4,40,4895,1.15,575.00,11.50,2.30,4.60,0.46
E:\slowlife\banner\static\banner_js\fancybox\helpers,jquery.fancybox-buttons.css,.css,97,83,0,0,14,2447,0.41,207.50,4.15,0.83,1.66,0.17
E:\slowlife\banner\static\banner_js\fancybox\helpers,jquery.fancybox-thumbs.css,.css,55,47,0,0,8,735,0.23,117.50,2.35,0.47,0.94,0.09
E:\slowlife\banner\templates\banner,banner.html,.html,144,119,3,0,22,5042,0.60,297.50,5.95,1.19,2.38,0.24
E:\slowlife\common_static\css,aboutus.css,.css,174,147,5,0,22,2761,0.74,367.50,7.35,1.47,2.94,0.29
E:\slowlife\common_static\css,APlayer.css,.css,355,298,10,0,47,9606,1.49,745.00,14.90,2.98,5.96,0.60
E:\slowlife\common_static\css,APlayer.min.css,.css,7,4,0,0,3,6297,0.02,10.00,0.20,0.04,0.08,0.01
E:\slowlife\common_static\css,article.css,.css,114,97,0,0,17,1691,0.49,242.50,4.85,0.97,1.94,0.19
E:\slowlife\common_static\css,base_aboutus.css,.css,21,18,0,0,3,302,0.09,45.00,0.90,0.18,0.36,0.04
E:\slowlife\common_static\css,base_main_page.css,.css,29,23,1,0,5,404,0.12,57.50,1.15,0.23,0.46,0.05
E:\slowlife\common_static\css,base_sub_page.css,.css,25,20,1,0,4,352,0.10,50.00,1.00,0.20,0.40,0.04
E:\slowlife\common_static\css,footer.css,.css,93,78,0,0,15,1295,0.39,195.00,3.90,0.78,1.56,0.16
E:\slowlife\common_static\css,header.css,.css,260,178,43,0,39,4396,0.89,445.00,8.90,1.78,3.56,0.36
E:\slowlife\common_static\css,main_page_left.css,.css,156,122,8,0,26,2229,0.61,305.00,6.10,1.22,2.44,0.24
E:\slowlife\common_static\css,man_recommend.css,.css,110,93,0,0,17,1573,0.47,232.50,4.65,0.93,1.86,0.19
E:\slowlife\common_static\css,material-scrolltop.css,.css,83,66,10,0,7,2193,0.33,165.00,3.30,0.66,1.32,0.13
E:\slowlife\common_static\css,music_article.css,.css,131,108,2,0,21,1901,0.54,270.00,5.40,1.08,2.16,0.22
E:\slowlife\common_static\css,notfoundpage.css,.css,226,220,0,2,4,7796,1.11,555.00,11.10,2.22,4.44,0.44
E:\slowlife\common_static\css,pagefenye.css,.css,58,58,0,0,0,1083,0.29,145.00,2.90,0.58,1.16,0.12
E:\slowlife\common_static\css,page_right.css,.css,161,128,4,0,29,2266,0.64,320.00,6.40,1.28,2.56,0.26
E:\slowlife\common_static\css,sub_page_left.css,.css,160,125,9,0,26,2326,0.63,312.50,6.25,1.25,2.50,0.25
E:\slowlife\common_templates,aboutus.html,.html,236,194,6,0,36,10162,0.97,485.00,9.70,1.94,3.88,0.39
E:\slowlife\common_templates,article.html,.html,49,45,0,0,4,1433,0.22,112.50,2.25,0.45,0.90,0.09
E:\slowlife\common_templates,base_aboutus.html,.html,86,60,9,0,17,2563,0.30,150.00,3.00,0.60,1.20,0.12
E:\slowlife\common_templates,base_article.html,.html,78,58,9,0,11,2292,0.29,145.00,2.90,0.58,1.16,0.12
E:\slowlife\common_templates,base_home.html,.html,89,66,11,0,12,2488,0.33,165.00,3.30,0.66,1.32,0.13
E:\slowlife\common_templates,base_main_page.html,.html,73,54,9,0,10,2209,0.27,135.00,2.70,0.54,1.08,0.11
E:\slowlife\common_templates,base_man_recommend.html,.html,67,48,9,0,10,2042,0.24,120.00,2.40,0.48,0.96,0.10
E:\slowlife\common_templates,base_sub_page.html,.html,146,124,9,0,13,4805,0.62,310.00,6.20,1.24,2.48,0.25
E:\slowlife\common_templates,footer.html,.html,44,40,4,0,0,2035,0.20,100.00,2.00,0.40,0.80,0.08
E:\slowlife\common_templates,header.html,.html,105,84,10,1,10,4852,0.43,212.50,4.25,0.85,1.70,0.17
E:\slowlife\common_templates,main_page_left.html,.html,84,73,3,0,8,2548,0.37,182.50,3.65,0.73,1.46,0.15
E:\slowlife\common_templates,man_recommend.html,.html,119,103,1,0,15,4733,0.51,257.50,5.15,1.03,2.06,0.21
E:\slowlife\common_templates,music_article.html,.html,84,79,0,0,5,2682,0.40,197.50,3.95,0.79,1.58,0.16
E:\slowlife\common_templates,notfoundpage.html,.html,28,24,0,0,4,895,0.12,60.00,1.20,0.24,0.48,0.05
E:\slowlife\common_templates,page_right.html,.html,145,118,17,0,10,5818,0.59,295.00,5.90,1.18,2.36,0.24
E:\slowlife\common_templates,sub_page_left.html,.html,73,63,3,0,7,2250,0.31,157.50,3.15,0.63,1.26,0.13
E:\slowlife\life,admin.py,.py,10,8,0,0,2,329,0.04,20.00,0.40,0.08,0.16,0.02
E:\slowlife\life,apps.py,.py,5,3,0,0,2,83,0.01,7.50,0.15,0.03,0.06,0.01
E:\slowlife\life,models.py,.py,34,30,0,0,4,1138,0.15,75.00,1.50,0.30,0.60,0.06
E:\slowlife\life,tests.py,.py,3,2,0,0,1,60,0.01,5.00,0.10,0.02,0.04,0.00
E:\slowlife\life,views.py,.py,3,2,0,0,1,63,0.01,5.00,0.10,0.02,0.04,0.00
E:\slowlife\life,__init__.py,.py,2,2,0,0,0,45,0.01,5.00,0.10,0.02,0.04,0.00
E:\slowlife\life\migrations,0001_initial.py,.py,32,26,0,0,6,1472,0.13,65.00,1.30,0.26,0.52,0.05
E:\slowlife\life\migrations,0002_auto_20170410_2133.py,.py,25,20,0,0,5,795,0.10,50.00,1.00,0.20,0.40,0.04
E:\slowlife\life\migrations,0003_auto_20170410_2140.py,.py,25,20,0,0,5,669,0.10,50.00,1.00,0.20,0.40,0.04
E:\slowlife\life\migrations,0004_auto_20170410_2146.py,.py,20,15,0,0,5,578,0.08,37.50,0.75,0.15,0.30,0.03
E:\slowlife\life\migrations,0005_auto_20170411_1541.py,.py,20,15,0,0,5,455,0.08,37.50,0.75,0.15,0.30,0.03
E:\slowlife\life\migrations,0006_auto_20170414_0114.py,.py,20,15,0,0,5,537,0.08,37.50,0.75,0.15,0.30,0.03
E:\slowlife\life\migrations,0007_auto_20170416_2003.py,.py,21,16,0,0,5,516,0.08,40.00,0.80,0.16,0.32,0.03
E:\slowlife\life\migrations,__init__.py,.py,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
E:\slowlife\life\static\life_css,life.css,.css,175,144,4,0,27,2719,0.72,360.00,7.20,1.44,2.88,0.29
E:\slowlife\life\templates\life,life.html,.html,92,89,0,0,3,4057,0.44,222.50,4.45,0.89,1.78,0.18
E:\slowlife\lit,admin.py,.py,10,8,0,0,2,325,0.04,20.00,0.40,0.08,0.16,0.02
E:\slowlife\lit,apps.py,.py,5,3,0,0,2,81,0.01,7.50,0.15,0.03,0.06,0.01
E:\slowlife\lit,models.py,.py,32,29,0,0,3,1116,0.14,72.50,1.45,0.29,0.58,0.06
E:\slowlife\lit,tests.py,.py,3,2,0,0,1,60,0.01,5.00,0.10,0.02,0.04,0.00
E:\slowlife\lit,views.py,.py,3,2,0,0,1,63,0.01,5.00,0.10,0.02,0.04,0.00
E:\slowlife\lit,__init__.py,.py,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
E:\slowlife\lit\migrations,0001_initial.py,.py,32,26,0,0,6,1509,0.13,65.00,1.30,0.26,0.52,0.05
E:\slowlife\lit\migrations,0002_auto_20170410_2204.py,.py,19,14,0,0,5,376,0.07,35.00,0.70,0.14,0.28,0.03
E:\slowlife\lit\migrations,0003_auto_20170411_1541.py,.py,20,15,0,0,5,453,0.08,37.50,0.75,0.15,0.30,0.03
E:\slowlife\lit\migrations,0004_auto_20170414_0121.py,.py,20,15,0,0,5,537,0.08,37.50,0.75,0.15,0.30,0.03
E:\slowlife\lit\migrations,0005_auto_20170416_2104.py,.py,21,16,0,0,5,514,0.08,40.00,0.80,0.16,0.32,0.03
E:\slowlife\lit\migrations,__init__.py,.py,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
E:\slowlife\lit\static\lit_css,lit.css,.css,184,153,3,0,28,2810,0.76,382.50,7.65,1.53,3.06,0.31
E:\slowlife\lit\templates\lit,lit.html,.html,188,169,8,0,11,7619,0.85,422.50,8.45,1.69,3.38,0.34
E:\slowlife\music,admin.py,.py,10,8,0,0,2,333,0.04,20.00,0.40,0.08,0.16,0.02
E:\slowlife\music,apps.py,.py,5,3,0,0,2,85,0.01,7.50,0.15,0.03,0.06,0.01
E:\slowlife\music,models.py,.py,33,30,0,0,3,1207,0.15,75.00,1.50,0.30,0.60,0.06
E:\slowlife\music,tests.py,.py,3,2,0,0,1,60,0.01,5.00,0.10,0.02,0.04,0.00
E:\slowlife\music,views.py,.py,3,2,0,0,1,63,0.01,5.00,0.10,0.02,0.04,0.00
E:\slowlife\music,__init__.py,.py,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
E:\slowlife\music\migrations,0001_initial.py,.py,32,26,0,0,6,1509,0.13,65.00,1.30,0.26,0.52,0.05
E:\slowlife\music\migrations,0002_music_audio.py,.py,20,15,0,0,5,491,0.08,37.50,0.75,0.15,0.30,0.03
E:\slowlife\music\migrations,0003_auto_20170411_1541.py,.py,20,15,0,0,5,450,0.08,37.50,0.75,0.15,0.30,0.03
E:\slowlife\music\migrations,0004_auto_20170414_0121.py,.py,20,15,0,0,5,541,0.08,37.50,0.75,0.15,0.30,0.03
E:\slowlife\music\migrations,0005_auto_20170416_2104.py,.py,21,16,0,0,5,518,0.08,40.00,0.80,0.16,0.32,0.03
E:\slowlife\music\migrations,__init__.py,.py,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
E:\slowlife\music\static\music_css,music.css,.css,175,144,4,0,27,2744,0.72,360.00,7.20,1.44,2.88,0.29
E:\slowlife\music\templates\music,music.html,.html,92,89,0,0,3,4190,0.44,222.50,4.45,0.89,1.78,0.18
E:\slowlife\recommend,admin.py,.py,3,2,0,0,1,63,0.01,5.00,0.10,0.02,0.04,0.00
E:\slowlife\recommend,apps.py,.py,5,3,0,0,2,93,0.01,7.50,0.15,0.03,0.06,0.01
E:\slowlife\recommend,models.py,.py,3,2,0,0,1,57,0.01,5.00,0.10,0.02,0.04,0.00
E:\slowlife\recommend,tests.py,.py,3,2,0,0,1,60,0.01,5.00,0.10,0.02,0.04,0.00
E:\slowlife\recommend,views.py,.py,3,2,0,0,1,63,0.01,5.00,0.10,0.02,0.04,0.00
E:\slowlife\recommend,__init__.py,.py,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
E:\slowlife\recommend\migrations,__init__.py,.py,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
E:\slowlife\recommend\static\recommend_css,recommend.css,.css,158,128,5,0,25,2809,0.64,320.00,6.40,1.28,2.56,0.26
E:\slowlife\recommend\templates\recommend,recommend.html,.html,90,82,0,0,8,3157,0.41,205.00,4.10,0.82,1.64,0.16
E:\slowlife\slowlife,settings.py,.py,143,102,0,7,34,3766,0.55,272.50,5.45,1.09,2.18,0.22
E:\slowlife\slowlife,urls.py,.py,59,51,0,1,7,2478,0.26,130.00,2.60,0.52,1.04,0.10
E:\slowlife\slowlife,wsgi.py,.py,16,9,0,1,6,394,0.05,25.00,0.50,0.10,0.20,0.02
E:\slowlife\slowlife,__init__.py,.py,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
E:\slowlife\talk,admin.py,.py,3,2,0,0,1,63,0.01,5.00,0.10,0.02,0.04,0.00
E:\slowlife\talk,apps.py,.py,5,3,0,0,2,83,0.01,7.50,0.15,0.03,0.06,0.01
E:\slowlife\talk,models.py,.py,3,2,0,0,1,57,0.01,5.00,0.10,0.02,0.04,0.00
E:\slowlife\talk,tests.py,.py,3,2,0,0,1,60,0.01,5.00,0.10,0.02,0.04,0.00
E:\slowlife\talk,views.py,.py,3,2,0,0,1,63,0.01,5.00,0.10,0.02,0.04,0.00
E:\slowlife\talk,__init__.py,.py,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
E:\slowlife\talk\migrations,__init__.py,.py,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
E:\slowlife\talk\static\talk_css,talk.css,.css,171,140,5,0,26,2697,0.70,350.00,7.00,1.40,2.80,0.28
E:\slowlife\talk\templates\talk,talk.html,.html,92,79,10,0,3,2619,0.40,197.50,3.95,0.79,1.58,0.16
E:\slowlife\travel,admin.py,.py,10,8,0,0,2,337,0.04,20.00,0.40,0.08,0.16,0.02
E:\slowlife\travel,apps.py,.py,5,3,0,0,2,87,0.01,7.50,0.15,0.03,0.06,0.01
E:\slowlife\travel,models.py,.py,33,29,0,0,4,1127,0.14,72.50,1.45,0.29,0.58,0.06
E:\slowlife\travel,tests.py,.py,3,2,0,0,1,60,0.01,5.00,0.10,0.02,0.04,0.00
E:\slowlife\travel,views.py,.py,3,2,0,0,1,63,0.01,5.00,0.10,0.02,0.04,0.00
E:\slowlife\travel,__init__.py,.py,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
E:\slowlife\travel\migrations,0001_initial.py,.py,32,26,0,0,6,1509,0.13,65.00,1.30,0.26,0.52,0.05
E:\slowlife\travel\migrations,0002_auto_20170410_2204.py,.py,19,14,0,0,5,381,0.07,35.00,0.70,0.14,0.28,0.03
E:\slowlife\travel\migrations,0003_auto_20170411_1541.py,.py,20,15,0,0,5,459,0.08,37.50,0.75,0.15,0.30,0.03
E:\slowlife\travel\migrations,0004_auto_20170414_0121.py,.py,20,15,0,0,5,544,0.08,37.50,0.75,0.15,0.30,0.03
E:\slowlife\travel\migrations,0005_auto_20170416_2104.py,.py,21,16,0,0,5,520,0.08,40.00,0.80,0.16,0.32,0.03
E:\slowlife\travel\migrations,__init__.py,.py,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
E:\slowlife\travel\static\travel_css,travel.css,.css,158,128,5,0,25,2734,0.64,320.00,6.40,1.28,2.56,0.26
